Makro,Azúcar Rubia LA BODEGUITA Bolsa 1Kg,LA BODEGUITA,4.5,,Azúcar y Endulzantes,https://www.makro.plazavea.com.pe/azucar-rubia-la-bodeguita-bolsa-1kg/p,https://plazavea.vteximg.com.br/arquivos/ids/31834582-300-300/20469936.jpg?v=638896974844830000
Makro,Panela Orgánica ONZA Bolsa 1Kg,ONZA,15.99,,Azúcar y Endulzantes,https://www.makro.plazavea.com.pe/panela-organica-onza-bolsa-1kg/p,https://plazavea.vteximg.com.br/arquivos/ids/32808233-300-300/20212413.jpg?v=638973976411830000
Makro,Azúcar Rubia LA BODEGUITA Bolsa 1Kg,LA BODEGUITA,4.5,,Azúcar y Endulzantes,https://www.makro.plazavea.com.pe/azucar-rubia-la-bodeguita-bolsa-1kg/p,https://plazavea.vteximg.com.br/arquivos/ids/31834582-300-300/20469936.jpg?v=638896974844830000
Makro,Panela Orgánica ONZA Bolsa 1Kg,ONZA,15.99,,Azúcar y Endulzantes,https://www.makro.plazavea.com.pe/panela-organica-onza-bolsa-1kg/p,https://plazavea.vteximg.com.br/arquivos/ids/32808233-300-300/20212413.jpg?v=638973976411830000
Makro,Endulzante ARO Stevia Dp x100un,ARO,14.59,,Azúcar y Endulzantes,https://www.makro.plazavea.com.pe/endulzante-aro-stevia-dp-x100un/p,https://plazavea.vteximg.com.br/arquivos/ids/30215411-300-300/20215304.jpg?v=638679060737230000
Makro,Endulzante en Polvo SPLENDA Caja 700un,SPLENDA,112.0,,Azúcar y Endulzantes,https://www.makro.plazavea.com.pe/endulzante-en-polvo-splenda-caja-700un/p,https://plazavea.vteximg.com.br/arquivos/ids/423214-300-300/20172238.jpg?v=637377099380430000
Makro,Endulzante Stevia ONZA Caja 100un,ONZA,15.79,,Azúcar y Endulzantes,https://www.makro.plazavea.com.pe/endulzante-stevia-onza-caja-100un/p,https://plazavea.vteximg.com.br/arquivos/ids/32808229-300-300/20130365.jpg?v=638973976352230000
Makro,Endulzante SPLENDA en Polvo Caja 50 Sobres,SPLENDA,25.5,,Azúcar y Endulzantes,https://www.makro.plazavea.com.pe/endulzante-splenda-en-polvo-caja-50-sobres/p,https://plazavea.vteximg.com.br/arquivos/ids/324347-300-300/92684.jpg?v=637252424717500000
Makro,Azúcar Blanca LA BODEGUITA Bolsa 1Kg,LA BODEGUITA,4.9,,Azúcar y Endulzantes,https://www.makro.plazavea.com.pe/azucar-blanca-la-bodeguita-bolsa-1kg/p,https://plazavea.vteximg.com.br/arquivos/ids/31834581-300-300/20469937.jpg?v=638896974400800000
Makro,Azúcar Blanca SAN JACINTO Saco 50kg,SAN JACINTO,147.9,,Azúcar y Endulzantes,https://www.makro.plazavea.com.pe/azucar-blanca-san-jacinto-saco-50kg/p,https://plazavea.vteximg.com.br/arquivos/ids/30280729-300-300/20464104.jpg?v=638687880919900000
Makro,Azúcar Rubia San Jacinto 25 Kg,SAN JACINTO,75.7,,Azúcar y Endulzantes,https://www.makro.plazavea.com.pe/azucar-rubia-san-jacinto-25-kg/p,https://plazavea.vteximg.com.br/arquivos/ids/30215166-300-300/20211720.jpg?v=638679057950930000
Makro,Azúcar Rubia SAN JACINTO x 50Kg,SAN JACINTO,127.0,,Azúcar y Endulzantes,https://www.makro.plazavea.com.pe/azucar-rubia-san-jacinto-x-50kg/p,https://plazavea.vteximg.com.br/arquivos/ids/30215163-300-300/20215236.jpg?v=638679057693930000
Makro,Endulzante Stevia ARO 150gr,ARO,17.59,,Azúcar y Endulzantes,https://www.makro.plazavea.com.pe/endulzante-stevia-aro-150gr/p,https://plazavea.vteximg.com.br/arquivos/ids/32885811-300-300/20213476.jpg?v=638979460364470000
Makro,Endulzante Stevia LA BOLIVIANA Caja 120un,LA BOLIVIANA,26.9,,Azúcar y Endulzantes,https://www.makro.plazavea.com.pe/endulzante-stevia-la-boliviana-caja-120un/p,https://plazavea.vteximg.com.br/arquivos/ids/16382050-300-300/20253373.jpg?v=637970162492030000
Makro,Endulzante LA BOLIVIANA Frasco 150g Paquete 3un,LA BOLIVIANA,60.9,,Azúcar y Endulzantes,https://www.makro.plazavea.com.pe/endulzante-la-boliviana-frasco-150g-paquete-3un/p,https://plazavea.vteximg.com.br/arquivos/ids/423217-300-300/20175649.jpg?v=637377099474100000
Makro,Endulzante en Polvo SPLENDA Caja 2000un,SPLENDA,267.0,,Azúcar y Endulzantes,https://www.makro.plazavea.com.pe/endulzante-en-polvo-splenda-caja-2000un/p,https://plazavea.vteximg.com.br/arquivos/ids/423216-300-300/20173305.jpg?v=637377099444970000
