tienda,nombre,marca,precio,stock,categoria,url,imagen
Plaza Vea,Arroz Superior PAISANA Bolsa 1Kg,PAISANA,5.5,Sí,Abarrotes / Arroz / Arroz Superior,https://www.plazavea.com.pe/arroz-superior-paisana-bolsa-1kg/p,https://plazavea.vteximg.com.br/arquivos/ids/561148-184-184/20130999.jpg?v=637427421718700000
Plaza Vea,Arroz Superior BELL'S Bolsa 750g,BELL'S,2.7,Sí,Abarrotes / Arroz / Arroz Superior,https://www.plazavea.com.pe/arroz-superior-bells-bolsa-750g/p,https://plazavea.vteximg.com.br/arquivos/ids/507677-184-184/20100595.jpg?v=637412429540100000
Plaza Vea,Arroz Superior BELL'S Bolsa 5Kg,BELL'S,15.4,Sí,Abarrotes / Arroz / Arroz Superior,https://www.plazavea.com.pe/arroz-superior-bells-bolas-5kg/p,https://plazavea.vteximg.com.br/arquivos/ids/5002518-184-184/20100596.jpg?v=637768218771530000
Plaza Vea,Arroz Superior VALLENORTE Bolsa 5Kg,VALLENORTE,17.5,Sí,Abarrotes / Arroz / Arroz Superior,https://www.plazavea.com.pe/arroz-superior-vallenorte-bolsa-5kg/p,https://plazavea.vteximg.com.br/arquivos/ids/554150-184-184/20069687.jpg?v=637426577172070000
Plaza Vea,Arroz Superior VALLENORTE Bolsa 750g,VALLENORTE,4.0,Sí,Abarrotes / Arroz / Arroz Superior,https://www.plazavea.com.pe/arroz-superior-vallenorte-bolsa-750g/p,https://plazavea.vteximg.com.br/arquivos/ids/554151-184-184/20069688.jpg?v=637426577202530000
Plaza Vea,Arroz Integral COSTEÑO Bolsa 750g,COSTEÑO,6.5,Sí,Abarrotes / Arroz / Arroz Integral y Especiales,https://www.plazavea.com.pe/arroz-integral-costeno-bolsa-750g/p,https://plazavea.vteximg.com.br/arquivos/ids/27595661-184-184/912752.jpg?v=638319169622030000
Plaza Vea,Arroz Superior Añejo VALLENORTE Bolsa 5Kg,VALLENORTE,22.9,Sí,Abarrotes / Arroz / Arroz Superior,https://www.plazavea.com.pe/arroz-superior-anejo-vallenorte-bolsa-5kg/p,https://plazavea.vteximg.com.br/arquivos/ids/16955560-184-184/20283343.jpg?v=637976796902830000
Plaza Vea,Arroz Parbolizado COSTEÑO Bolsa 750g,COSTEÑO,5.6,Sí,Abarrotes / Arroz / Arroz Integral y Especiales,https://www.plazavea.com.pe/arroz-parbolizado-costeno-bolsa-750g/p,https://plazavea.vteximg.com.br/arquivos/ids/27595662-184-184/58985.jpg?v=638319169668970000
Plaza Vea,Arroz Superior FARAON Rojo x 5Kg,FARAON,23.5,Sí,Abarrotes / Arroz / Arroz Superior,https://www.plazavea.com.pe/arroz-superior-faraon-rojo-x-5kg/p,https://plazavea.vteximg.com.br/arquivos/ids/30216021-184-184/20211980.jpg?v=638679077034930000
Plaza Vea,Arroz Extra BELL'S Selección Bolsa 750g,BELL'S SELECCIÓN,3.2,Sí,Abarrotes / Arroz / Arroz Extra,https://www.plazavea.com.pe/arroz-extra-anejo-bells-bolsa-750g/p,https://plazavea.vteximg.com.br/arquivos/ids/31304358-184-184/20093204.jpg?v=638821732030700000
Plaza Vea,Arroz Arborio COSTEÑO Bolsa 750g,COSTEÑO,11.9,Sí,Abarrotes / Arroz / Arroz Integral y Especiales,https://www.plazavea.com.pe/arroz-arborio-costeno-bolsa-750g/p,https://plazavea.vteximg.com.br/arquivos/ids/27595660-184-184/58983.jpg?v=638319169582000000
